3G,4G,5G,Audio Jack,Battery,Bluetooth,Brand Name,Color,CPU Clock Speed,CPU Cores,Display Resolution,Display Size,Display Type,Expandable Storage,Flash,Fingerprint Scanner,Fingerprint Scanner Type,GPS,GPU Name,Hybrid Slot,Internal Storage,Model Name,Model No,Name,No of Front Cameras,No of Rear Cameras,OS,OTG Compatible,Primary Camera,RAM,Ratings,Reviews,Stars,Secondary Camera,Sim Type,Sim Size,Touchscreen,Weight,WiFi
HSPA+,YES,,3.5mm,4000 mAh,v4.2,OPPO,Unicorn White,2.1 GHz,Octa Core,2400 x 1080 Pixels,16.26 cm (6.4 inch),AMOLED,256 GB,,Yes,In-Display,"A-GPS, GLONASS, BeiDou",ARM Mali G72 MP3 900 MHz,No,128 GB,F15,CPH2001,OPPO F15,1.0,4,Android Pie 9,Yes,48MP 8MP 2MP 2MP,8 GB,4430,460,4.4,16MP,Dual Sim,Dual Nano SIM,Multi-touch Capacitive Screen,172 g,Yes
Yes,YES,,,No,5,Apple,Space Grey,,,2160p,14.73 cm (5.8 inch),All-screen OLED Multi-touch Display,,Rear Quad-LED True Tone Flash with Slow Sync and Front Retina Flash,,,"Assisted GPS, GLONASS, Galileo and QZSS","4-core, Graphics Performance - Upto 50% Faster than A11 Bionic, Metal 2 Optimised, 3D, Graphics-intensive Gameplay, Faster and More Fluid",No,64 GB,iPhone XS,MT9E2HN/A,Apple iPhone XS,1.0,2,iOS 12,No,12MP 12MP,,7791,602,4.7,7MP,Dual Sim,Nano SIM and eSIM,Yes,177 g,802.11ac with 2x2 MIMO
HSPA+,YES,,3.5mm,5000 mAh,v5.0,OPPO,Vanilla Mint,1.8 GHz,Octa Core,1600 x 720 Pixels,16.56 cm (6.52 inch),TFT-LCD,,Rear LED Flash,,,,Adreno 610,No,128 GB,A9 2020,CPH1937,OPPO A9 2020,1.0,4,Android Pie 9,Yes,48MP 8MP 2MP 2MP,8 GB,4235,360,4.3,16MP,Dual Sim,Dual Nano SIM,"Capacitive Screen, Multi-touch",195 g,802.11a/b/g/n/ac
DC-HSPA+ (DL/UL): 42/5.76 Mbps,YES,,3.5mm,5000 mAh,v5.0,Asus,Blue,1.95 GHz,Octa Core,"4K, 1080p,720p",15.9 cm (6.26 inch),IPS In-cell,2 TB,Rear and Front (Single LED Flash),Yes,,"GLONASS, BDS, GALILEO, QZSS",,No,64 GB,ZenFone Max Pro M2,ZB630KL-4D001IN,Asus ZenFone Max Pro M2,1.0,2,Android Oreo 8.1,Yes,12MP 5MP,4 GB,74642,10882,4.3,13MP,Dual Sim,Nano SIM and Nano SIM,Capacitive,175 g,802.11b/g/n
HSPA+,YES,,3.5mm,5000 mAh,v5.0,OPPO,Space Purple,1.8 GHz,Octa Core,1600 x 720 Pixels,16.51 cm (6.5 inch),TFT-LCD,,Rear LED Flash,,,,Adreno 610,No,128 GB,A9 2020,CPH1937,OPPO A9 2020,1.0,4,Android Pie 9,Yes,48MP 8MP 2MP 2MP,8 GB,4235,360,4.3,16MP,Dual Sim,Dual Nano SIM,"Capacitive Screen, Multi-touch",195 g,802.11a/b/g/n/ac
,YES,,3.5mm,lithium-ion,4.2,Redmi,Space Black,2 GHz,Octa Core,2280 x 1080$$Pixels,16.0 cm (6.3 inch),Gorilla Glass,,Back,Yes,,,Adreno 610,Yes,128 GB,Redmi Note 8,M1908C3JI,Redmi Note 8,1.0,2,Android Pie 9,Yes,48MP 8MP,6 GB,7006,583,4.4,13MP,Dual Sim,Nano,Yes,190 g,Yes
YES,YES,,3.5mm,4230 mAh,v5.0,OPPO,Fantasy White,2.3 GHz,Octa Core,"Rear Camera: 1080P at 30 fps (Defualt), 720P at 30 fps, Front Camera: 1080P at 30 fps, 720P at 30 fps (Defualt)",16.51 cm (6.5 inch),HD+ TFT-LCD Display,256 GB,Rear Flash,,,"A-GPS, GLONASS, BeiDou",IMG GE8320,No,64 GB,A31,CPH2015,OPPO A31,1.0,3,Android Pie 9,Yes,12MP 2MP 2MP,4 GB,92,9,4.5,8MP,Dual Sim,Nano SIM,Capacitive,180 g,Yes
HSPA+,YES,,,3000 mAh,4.1,Lenovo,Black,2 GHz,Octa Core,720 x 1440 pixels,14.48 cm (5.7 inch),HD+,256 GB,Rear Dual LED Flash,Yes,,"A-GPS, GLONASS, BeiDou",IMG GE8320 at 520 MHz,Yes,32 GB,K9,PADV0031CN,Lenovo K9,2.0,2,Android Oreo 8.1,Yes,13MP 5MP,3 GB,15556,1690,4.2,13MP 5MP,Dual Sim,Dual Nano SIM,Yes,155 g,Yes
Yes,YES,,3.5mm,4440 mAh,v5.1,iQOO,Tornado Black,2.8 GHz,Octa Core,Upto 4K 1080P 720P,16.36 cm (6.44 inch),Super AMOLED,,Rear Flash and Front Screen Flash,Yes,,GLONASS,Adreno 650,No,128 GB,3,I1927,iQOO 3,1.0,4,Android 10,Yes,48MP 13MP 13MP 2MP,8 GB,227,60,4.5,16MP,Dual Sim,Nano SIM,Capacitive Multi Touch Screen,214.5 g,Yes
Yes,YES,,3.5mm,4440 mAh,v5.1,iQOO,Tornado Black,2.8 GHz,Octa Core,Upto 4K 1080P 720P,16.36 cm (6.44 inch),Super AMOLED,,Rear Flash and Front Screen Flash,Yes,,GLONASS,Adreno 650,No,256 GB,3,I1927,iQOO 3,1.0,4,Android 10,Yes,48MP 13MP 13MP 2MP,8 GB,227,60,4.5,16MP,Dual Sim,Nano SIM,Capacitive Multi Touch Screen,214.5 g,Yes
HSPA+,YES,,3.5mm,5000 mAh,v5.0,OPPO,Marine Green,1.8 GHz,Octa Core,1600 x 720 Pixels,16.51 cm (6.5 inch),TFT-LCD,,Rear LED Flash,,,,Adreno 610,No,128 GB,A9 2020,CPH1937,OPPO A9 2020,1.0,4,Android Pie 9,Yes,48MP 8MP 2MP 2MP,4 GB,2227,212,4.4,16MP,Dual Sim,Dual Nano SIM,"Capacitive Screen, Multi-touch",195 g,802.11a/b/g/n/ac
Yes,YES,,3.5mm,4440 mAh,v5.1,iQOO,Quantum Silver,2.8 GHz,Octa Core,Upto 4K 1080P 720P,16.36 cm (6.44 inch),Super AMOLED,,Rear Flash and Front Screen Flash,Yes,,GLONASS,Adreno 650,No,128 GB,3,I1927,iQOO 3,1.0,4,Android 10,Yes,48MP 13MP 13MP 2MP,8 GB,227,60,4.5,16MP,Dual Sim,Nano SIM,Capacitive Multi Touch Screen,214.5 g,Yes
YES,YES,,,Lithium-ion,v5.0,Mi,More Than White,2 GHz,Octa Core,1560 x 720 Pixels,15.44 cm (6.08 inch),Super AMOLED,256 GB,,Yes,In-Display,"A-GPS, GLONASS, BeiDou",Adreno 610,Yes,128 GB,A3,MZB7978IN,Mi A3,1.0,3,Android Pie 9,Yes,48MP 8MP 2MP,6 GB,6083,513,4.3,32MP,Dual Sim,Nano SIM,AMOLED Multi-touch Capacitive,173.8 g,Yes
Yes,YES,,,4000 mAh,Yes,Samsung,Black,2.3 GHz,Octa Core,1080 x 2340 pixels,16.26 cm (6.4 inch),Super AMOLED,512 GB,,Yes,,,,No,64 GB,Galaxy A50,SM-A505FZKDINS,Samsung Galaxy A50,1.0,3,Android Pie 9.0,Yes,25MP 5MP 8MP,4 GB,52406,4987,4.3,25MP,Dual Sim,Nano SIM,Yes,166 g,Yes
YES,YES,,3.5mm,4000 mAh,v4.2,OPPO,Sky White,2.1 GHz,Octa Core,2400 x 1080 Pixels,16.51 cm (6.5 inch),AMOLED,,Rear Flash,,,"BeiDou, GLONASS",ARM Mali-G72 MP3 900MHz,No,128 GB,Reno2 F,CPH1989,OPPO Reno2 F,1.0,4,Android Pie 9,Yes,48MP 8MP 2MP 2MP,8 GB,1664,158,4.5,16MP,Dual Sim,Dual Nano SIM,Multi-touch Capacitive Screen,195 g,802.11a/b/g/n/ac
Yes,YES,,,4000 mAh,,Redmi,Gold,2 GHz,Octa Core,1080 x 2280 pixels,14.83 cm (5.84 inch),Full HD+,256 GB,Rear LED Flash,Yes,,,,No,32 GB,Redmi 6 Pro,M1805D1SI,Redmi 6 Pro,1.0,2,Android Oreo 8.1,Yes,12MP 5MP,3 GB,10244,769,4.3,5MP,Dual Sim,,Yes,178 g,Yes
Yes,YES,,,4000 mAh,5.0,Infinix,Aqua Blue,2.39 GHz,Octa Core,1500 x 720 pixels,15.72 cm (6.19 inch),IPS,256 GB,Dual LED Flash and Front LED Flash,Yes,,A-GPS,,No,64 GB,Hot 7,X625C,Infinix Hot 7,2.0,2,Android Pie 9.0,Yes,13MP 2MP,4 GB,25485,3410,4.2,13MP 2MP,Dual Sim,Nano SIM and Nano SIM,Yes,159 g,Yes
"7.2 Mbps HSDPA, 5.76Mbps HSUPA",YES,,Yes,No,4.2,Itel,Gradation Purple,1.4 GHz,Quad Core,HD 720p,12.7 cm (5 inch),IPS,32 GB,Front and Back Flash,,,DDR3,Mali T820-600MHz,No,16 GB,A25,L5002,Itel A25,1.0,1,Android Pie 9.0(Go),No,5MP,1 GB,3,0,5.0,2MP,Dual Sim,Micro,Capacitive,153 g,Yes
Yes,YES,,,4000 mAh,Yes,Samsung,Black,2.3 GHz,Octa Core,1080 x 2340 pixels,16.26 cm (6.4 inch),Super AMOLED,512 GB,,Yes,,,,No,64 GB,Galaxy A50,SM-A505FZKGINS,Samsung Galaxy A50,1.0,3,Android Pie 9.0,Yes,25MP 5MP 8MP,6 GB,9682,875,4.4,25MP,Dual Sim,Nano SIM,Yes,166 g,Yes
"HSDPA Cat 24: 42 Mbit/s (DL), HSUPA Cat 6: 5.76 Mbit/s (UL), WCDMA: 384 Kbit/s (UL), 384 Kbit/s (DL)",YES,,3.5,Lithium Polymer,4.2,Honor,Sapphire Blue,2.36 GHz,Octa Core,2280 x 1080 Pixels,14.83 cm (5.84 inches),TFT-LCD,256 GB,Rear Flash,Yes,,"GPS, GLONASS, BeiDou",,Yes,128 GB,9N,LLD-AL20,Honor 9N,1.0,2,Android Oreo 8,Yes,13MP 2MP,4 GB,221629,21192,4.3,16MP,Dual Sim,Nano Sim,Yes,152 g,Yes
HSPA+,YES,,3.5mm,5000 mAh,v5.0,OPPO,Space Purple,1.8 GHz,Octa Core,1600 x 720 Pixels,16.51 cm (6.5 inch),TFT-LCD,,Rear LED Flash,,,,Adreno 610,No,128 GB,A9 2020,CPH1937,OPPO A9 2020,1.0,4,Android Pie 9,Yes,48MP 8MP 2MP 2MP,4 GB,2227,212,4.4,16MP,Dual Sim,Dual Nano SIM,"Capacitive Screen, Multi-touch",195 g,802.11a/b/g/n/ac
"HSDPA Cat 24: 42 Mbit/s (DL), HSUPA Cat 6: 5.76 Mbit/s (UL), WCDMA: 384 Kbit/s (UL), 384 Kbit/s (DL)",YES,,3.5,Lithium Polymer,4.2,Honor,Midnight Black,2.36 GHz,Octa Core,2280 x 1080 Pixels,14.83 cm (5.84 inches),TFT-LCD,256 GB,Rear Flash,Yes,,"GPS, GLONASS, BeiDou",,Yes,64 GB,9N,LLD-AL20,Honor 9N,1.0,2,Android Oreo 8,Yes,13MP 2MP,4 GB,221629,21192,4.3,16MP,Dual Sim,Nano Sim,Yes,152 g,Yes
Yes,YES,,3.5,Yes,4.2,Ismart,Sea Blue,1.3 GHz,Quad Core,1920 x 1080,15.9 cm (6.26 inch),IPS,,Yes,Yes,,Yes,,No,32 GB,Extreme,I1,Ismart Extreme,1.0,1,No,Yes,8MP,2 GB,12,1,3.5,5MP,Dual Sim,Micro,IPS,150 g,Yes
HSPA+,YES,,3.5mm,3000 mAh,4.2,Moto,White,2 GHz,Octa Core,1520 x 720 pixels,14.99 cm (5.9 inch),LTPS IPS LCD,256 GB,Rear Single LED flash,Yes,,"A-GPS, GLONASS, Galileo",Adreno 506 at 650 MHz,No,64 GB,Moto One,PAD40009IN,Moto One,1.0,2,Android Pie 9,No,13MP 2MP,4 GB,262,35,4.1,8MP,Dual Sim,Dual Nano SIM,Yes,162 g,Yes
HSPA+,YES,,3.5mm,4000 mAh,v4.2,OPPO,Unicorn White,2.1 GHz,Octa Core,2400 x 1080 Pixels,16.26 cm (6.4 inch),AMOLED,256 GB,,Yes,In-Display,"A-GPS, GLONASS, BeiDou",ARM Mali G72 MP3 900 MHz,No,128 GB,F15,CPH2001,OPPO F15,1.0,4,Android Pie 9,Yes,48MP 8MP 2MP 2MP,8 GB,4430,460,4.4,16MP,Dual Sim,Dual Nano SIM,Multi-touch Capacitive Screen,172 g,Yes
YES,YES,,3.5mm,3765 mAh,5,Realme,Polar White,2.2 GHz,Octa Core,2340 x 1080 Pixels,16.59 cm (6.53 inch),"AMOLED, OLED",,Rear Flash,Yes,In-Display,"Beidou, Galileo, Glonass",Adreno 616,No,128 GB,X,RMX1901,Realme X,1.0,2,Android Pie 9,Yes,48MP 5MP,8 GB,37836,4765,4.5,16MP,Dual Sim,Dual Nano SIM,Yes,191 g,Yes
YES,YES,,3.5mm,3500 mAh,v5.0,Nokia,Charcoal,2.2 GHz,Octa Core,1080 x 2340 Pixels,16.0 cm (6.3 inch),FHD+ Pure Display,512 GB,Rear and Front Screen Flash,Yes,,Yes,Adreno 512 GPU,No,64 GB,7.2,TA-1193 DS,Nokia 7.2,1.0,3,Android Pie 9.0,Yes,48MP 5MP 8MP,6 GB,2543,400,4.2,20MP,Dual Sim,Nano SIM,Yes,180 g,Yes
Yes,YES,,,4500 mAh,Yes,Samsung,Blue,2 GHz,Octa Core,1920 x 1080 pixels,17.02 cm (6.7 inch),Super AMOLED,512 GB,Rear Flash,,,Yes,Qualcomm Adreno 612,No,128 GB,Galaxy A70,SM-A705GZBHINS,Samsung Galaxy A70,1.0,3,Android Pie 9.0,Yes,32MP 5MP 8MP,6 GB,4610,554,4.4,32MP,Dual Sim,,Yes,180 g,Yes
Yes,YES,,,4000 mAh,4.2,Infinix,Tradew Gray,1.4 GHz,Octa Core,1500 x 720 pixels,15.75 cm (6.2 inch),IPS,128 GB,Rear Dual LED Flash and Front Softlight Flash,Yes,,A-GPS,,No,32 GB,Hot S3X,X622,Infinix Hot S3X,1.0,2,Android Oreo 8.1,Yes,13MP 2MP,3 GB,17017,2588,4.2,16MP,Dual Sim,Nano SIM + Nano SIM,Yes,150 g,Yes
Yes,YES,,,4010 mAh,,Gionee,Grey,2 GHz,Octa Core,1920 x 1080 pixels,13.97 cm (5.5 inch),IPS,256 GB,Front and Rear Flash,,,Yes,,Yes,64 GB,A1,,Gionee A1,1.0,1,Android Nougat 7,Yes,13MP,4 GB,5748,1026,4.0,16MP,Dual Sim,Micro SIM and Nano SIM,Yes,183 g,Yes
HSPA+,YES,,3.5mm,5000 mAh,v5.0,OPPO,Space Purple,1.8 GHz,Octa Core,1600 x 720 Pixels,16.51 cm (6.5 inch),TFT-LCD,,Rear LED Flash,,,,Adreno 610,No,128 GB,A9 2020,CPH1937,OPPO A9 2020,1.0,4,Android Pie 9,Yes,48MP 8MP 2MP 2MP,8 GB,4235,360,4.3,16MP,Dual Sim,Dual Nano SIM,"Capacitive Screen, Multi-touch",195 g,802.11a/b/g/n/ac
YES,YES,,,Lithium-ion,Yes,Nokia,Black,2 GHz,Quad Core,720 x 1520 pixels,15.9 cm (6.26 inch),,400 GB,Rear Flash,,,Yes,,No,32 GB,3.2,719901070791,Nokia 3.2,1.0,1,Android Pie 9.0,Yes,13MP,3 GB,280,28,4.1,5MP,Dual Sim,Nano SIM,Yes,181 g,Yes
YES,YES,,3.5mm,3080 mAh,4.2,Redmi,Gold,2 GHz,Octa Core,1440 x 720 pixels,15.21 cm (5.99 inch),IPS (In-cell),256 GB,Rear Flash,Yes,,"GLONASS, BeiDou",Adreno 506,No,32 GB,Redmi Y2,MZB6145IN,Redmi Y2,1.0,2,Android Oreo 8.0,Yes,12MP 5MP,3 GB,114619,7868,4.5,16MP,Dual Sim,Nano SIM + Nano SIM,Yes,168 g,802.11b/g/n
YES,YES,,,1600 mAh,,Micromax,Black,1.2 MHz,,480 x 800$$Pixels,10.16 cm (4 inch),,,Rear Flash,,,,,No,8 GB,Bharat 2 Plus,Q402+,Micromax Bharat 2 Plus,,1,Android Nougat 7.0,No,5MP,1 GB,1932,221,3.6,,Dual Sim,,Yes,,
HSPA+,YES,,3.5mm,5000 mAh,v5.0,OPPO,Marine Green,1.8 GHz,Octa Core,1600 x 720 Pixels,16.51 cm (6.5 inch),TFT-LCD,,Rear LED Flash,,,,Adreno 610,No,128 GB,A9 2020,CPH1937,OPPO A9 2020,1.0,4,Android Pie 9,Yes,48MP 8MP 2MP 2MP,4 GB,2227,212,4.4,16MP,Dual Sim,Dual Nano SIM,"Capacitive Screen, Multi-touch",195 g,802.11a/b/g/n/ac
YES,YES,,,5000 mAh,,Samsung,Ocean Blue,1.8 GHz,Octa Core,1080 x 2340$$Pixels,16.0 cm (6.3 inch),,,,Yes,,,,No,64 GB,Galaxy M20,M20,Samsung Galaxy M20,,1,9.5,Yes,13MP,4 GB,3108,257,4.3,,Dual Sim,Nano SIM,Yes,186 g,
YES,YES,,,5000 mAh,,Samsung,Gradation Black,1.8 GHz,Quad Core,1080 x 2340$$Pixels,16.26 cm (6.4 inch),,,,Yes,,,,No,64 GB,Galaxy M30,Galaxy M30,Samsung Galaxy M30,,1,Android Oreo 8.1,Yes,13MP,4 GB,3314,246,4.4,,Dual Sim,Nano,Yes,,
Yes,YES,,3.5mm,4000 mAh,5.0,Redmi,Carbon Black,2.84 GHz,Octa Core,2340 x 1080 pixels,16.23 cm (6.39 inch),AMOLED,,Rear Flash,Yes,,"2 band-GPS/A-GPS, GLONASS, BeiDou",Adreno 640,No,256 GB,Redmi K20 Pro,MZB7753IN,Redmi K20 Pro,1.0,3,Android Pie 9.0,Yes,48MP 13MP 8MP,8 GB,11364,1640,4.6,20MP,Dual Sim,Dual Nano SIM,Yes,191 g,802.11 a/b/g/n/ac (2x2 MiMo)
YES,YES,,3.5mm,Li-Polymer,5,Tecno,Nebula Black,2 GHz,Quad Core,1520x720 Pixels,15.75 cm (6.2 inch),TFT,256 GB,,Yes,,Yes,,No,32 GB,Camon i4,Camon i4/CB7,Tecno Camon i4,1.0,2,Android Pie 9,Yes,13MP 8MP,2 GB,141,12,4.1,16MP,Dual Sim,,Yes,140 g,Yes
HSPA+,YES,,3.5mm,5000 mAh,v5.0,Realme,Frozen Blue,2 GHz,Octa Core,720 x 1600 Pixels,16.56 cm (6.52 inch),HD+,256 GB,Rear Flash,,,"A-GPS, GLONASS, BeiDou",Mali G52,No,32 GB,C3,RMX2027,Realme C3,1.0,2,Android 10,Yes,12MP 2MP,3 GB,23480,2450,4.4,5MP,Dual Sim,Dual Nano SIM,Capacitive Screen,195 g,"802.11b/g/n, 2.4G"
YES,YES,,3.5mm,Li-polymer,v4.2,Redmi,Onyx Black,1.95 GHz,Octa Core,1520 x 720 Pixels,15.8 cm (6.22 inch),HD+,512 GB,Rear and Front Screen Flash,Yes,,Yes,Adreno 505 at 650 MHz,No,64 GB,Redmi 8,MZB8254IN/MZB9072IN,Redmi 8,1.0,2,Android Pie 9,Yes,12MP 2MP,4 GB,443825,37261,4.4,8MP,Dual Sim,Nano SIM + Nano SIM,Yes,188 g,Yes
YES,YES,,3.5mm,4300 mAh,v5.0,Realme,Comet Blue,2.05 GHz,Octa Core,"Front Camera: 720P at 30 fps, 1080P at 30 fps, Rear Camera: 1080P at 60 fps, 720P at 60 fps, 1080P at 30 fps, 720P at 30 fps, 4K at 30 fps",16.51 cm (6.5 inch),Full HD+ LCD Display,256 GB,Rear Flash,,,"A-GPS, GLONASS, BeiDou",ARM G76 (12 nm),No,64 GB,6,RBS0601IN,Realme 6,1.0,4,Android 10,Yes,64MP 8MP 2MP 2MP,4 GB,5147,772,4.5,16MP,Dual Sim,Nano SIM,Capacitive,191 g,Yes
HSPA+,YES,,3.5mm,5000 mAh,v5.0,Realme,Aqua Blue,2.2 GHz,Octa Core,720 x 1600 Pixels,16.56 cm (6.52 inch),HD+,,Rear Flash,Yes,,"A-GPS, GLONASS, BeiDou",Adreno 610,No,128 GB,5i,RMX2030,Realme 5i,1.0,4,Android Pie 9,Yes,12MP 8MP 2MP 2MP,4 GB,125229,9947,4.4,8MP,Dual Sim,Dual Nano SIM,Capacitive Screen,195 g,"802.11b/g/n, 2.4G"
YES,YES,,3.5mm,4300 mAh,v5.0,Realme,Comet White,2.05 GHz,Octa Core,"Front Camera: 720P at 30 fps, 1080P at 30 fps, Rear Camera: 1080P at 60 fps, 720P at 60 fps, 1080P at 30 fps, 720P at 30 fps, 4K at 30 fps",16.51 cm (6.5 inch),Full HD+ LCD Display,256 GB,Rear Flash,,,"A-GPS, GLONASS, BeiDou",ARM G76 (12 nm),No,64 GB,6,RBS0602IN,Realme 6,1.0,4,Android 10,Yes,64MP 8MP 2MP 2MP,4 GB,5147,772,4.5,16MP,Dual Sim,Nano SIM,Capacitive,191 g,Yes
HSPA+,YES,,3.5mm,5000 mAh,v5.0,Realme,Frozen Blue,2 GHz,Octa Core,720 x 1600 Pixels,16.56 cm (6.52 inch),HD+,256 GB,Rear Flash,,,"A-GPS, GLONASS, BeiDou",Mali G52,No,64 GB,C3,RMX2027,Realme C3,1.0,2,Android 10,Yes,12MP 2MP,4 GB,26071,2601,4.4,5MP,Dual Sim,Dual Nano SIM,Capacitive Screen,195 g,"802.11b/g/n, 2.4G"
YES,YES,,3.5mm,4300 mAh,v5.1,Realme,Lightning Blue,2.3 GHz,Octa Core,"Front Camera: 720P at 30 fps, 1080P at 30 fps, Rear Camera: 720p at 30 fps, 720p at 60 fps, 1080p at 30 fps, 1080p at 60 fps, 4K at 30 fps",16.76 cm (6.6 inch),Full HD+ LCD Display,256 GB,Rear Flash,,,"A-GPS, GLONASS, BeiDou",A618 (8 nm),No,128 GB,6 Pro,RBS0621IN,Realme 6 Pro,2.0,4,Android 10,Yes,64MP 12MP 8MP 2MP,6 GB,700,72,4.7,16MP 8MP,Dual Sim,Nano SIM,Capacitive,195 g,Yes
YES,YES,,3.5mm,Li-polymer,v4.2,Redmi,Midnight Black,1.95 GHz,Octa Core,1520 x 720 Pixels,15.8 cm (6.22 inch),HD+,512 GB,Rear and Front Screen Flash,,,Yes,Adreno 505 at 650 MHz,No,32 GB,Redmi 8A,MZB8298IN,Redmi 8A,1.0,1,Android Pie 9.0,Yes,12MP,2 GB,115150,8844,4.4,8MP,Dual Sim,Nano SIM + Nano SIM,Yes,188 g,Yes
HSPA+,YES,,3.5mm,4000 mAh,4.2,Realme,Diamond Black,2 GHz,Octa Core,"1080p, 720p",15.49 cm (6.1 inch),HD+,256 GB,Rear Flash,,,GLONASS,GE8320,No,32 GB,C2,RMX1941,Realme C2,1.0,2,Android Pie 9.0,Yes,13MP 2MP,2 GB,724835,62591,4.4,5MP,Dual Sim,Dual Nano SIM,Multi-touch,166 g,802.11 b/g/n
HSPA+,YES,,3.5mm,4000 mAh,4.2,Realme,Diamond Black,2 GHz,Octa Core,"1080p, 720p",15.49 cm (6.1 inch),HD+,256 GB,Rear Flash,,,GLONASS,GE8320,No,32 GB,C2,RMX1941,Realme C2,1.0,2,Android Pie 9.0,Yes,13MP 2MP,3 GB,109203,8787,4.3,5MP,Dual Sim,Dual Nano SIM,Multi-touch,166 g,802.11 b/g/n
HSPA+,YES,,3.5mm,4000 mAh,4.2,Realme,Diamond Blue,2 GHz,Octa Core,"1080p, 720p",15.49 cm (6.1 inch),HD+,256 GB,Rear Flash,,,GLONASS,GE8320,No,32 GB,C2,RMX1941,Realme C2,1.0,2,Android Pie 9.0,Yes,13MP 2MP,2 GB,724835,62591,4.4,5MP,Dual Sim,Dual Nano SIM,Multi-touch,166 g,802.11 b/g/n
YES,YES,,3.5mm,4300 mAh,v5.1,Realme,Lightning Blue,2.3 GHz,Octa Core,"Front Camera: 720P at 30 fps, 1080P at 30 fps, Rear Camera: 720p at 30 fps, 720p at 60 fps, 1080p at 30 fps, 1080p at 60 fps, 4K at 30 fps",16.76 cm (6.6 inch),Full HD+ LCD Display,256 GB,Rear Flash,,,"A-GPS, GLONASS, BeiDou",A618 (8 nm),No,128 GB,6 Pro,RBS0627IN,Realme 6 Pro,2.0,4,Android 10,Yes,64MP 12MP 8MP 2MP,8 GB,716,114,4.7,16MP 8MP,Dual Sim,Nano SIM,Capacitive,195 g,Yes
YES,YES,,3.5mm,4000 mAh,v5.0,Redmi,Space Black,2 GHz,Octa Core,2340 x 1080 pixels,16.0 cm (6.3 inch),"IPS (In-cell), RD",256 GB,Single Tone Dual LED Flash,Yes,,"A-GPS, GLONASS, BeiDou",Adreno 612,Yes,64 GB,Redmi Note 7 Pro,MZB7465IN,Redmi Note 7 Pro,1.0,2,Android Pie 9,Yes,48MP 5MP,6 GB,248806,21242,4.5,13MP,Dual Sim,Nano SIM + Nano SIM,Yes,186 g,802.11 a/b/g/n/ac
YES,YES,,3.5mm,Li-polymer,v4.2,Redmi,Sunset Red,1.95 GHz,Octa Core,1520 x 720 Pixels,15.8 cm (6.22 inch),HD+,512 GB,Rear and Front Screen Flash,,,Yes,Adreno 505 at 650 MHz,No,32 GB,Redmi 8A,MZB8459IN,Redmi 8A,1.0,1,Android Pie 9.0,Yes,12MP,3 GB,105772,8682,4.4,8MP,Dual Sim,Nano SIM + Nano SIM,Yes,188 g,Yes
YES,YES,,3.5mm,4300 mAh,v5.0,Realme,Comet Blue,2.05 GHz,Octa Core,"Front Camera: 720P at 30 fps, 1080P at 30 fps, Rear Camera: 1080P at 60 fps, 720P at 60 fps, 1080P at 30 fps, 720P at 30 fps, 4K at 30 fps",16.51 cm (6.5 inch),Full HD+ LCD Display,256 GB,Rear Flash,,,"A-GPS, GLONASS, BeiDou",ARM G76 (12 nm),No,128 GB,6,RBS0603IN,Realme 6,1.0,4,Android 10,Yes,64MP 8MP 2MP 2MP,6 GB,965,146,4.6,16MP,Dual Sim,Nano SIM,Capacitive,191 g,Yes
HSPA+,YES,,3.5mm,4000 mAh,v4.2,Realme,Diamond Ruby,2 GHz,Octa Core,"1080p, 720p",15.49 cm (6.1 inch),HD+,256 GB,Rear Flash,,,GLONASS,GE8320,No,32 GB,C2,RMX1941,Realme C2,1.0,2,Android Pie 9.0,Yes,13MP 2MP,3 GB,109203,8787,4.3,5MP,Dual Sim,Dual Nano SIM,Multi-touch,166 g,802.11 b/g/n
Yes,YES,,3.5mm,5000 mAh,v5.0,Vivo,Electric Blue,2 GHz,Octa Core,"Yes - Upto 1080p, 720p",16.13 cm (6.35 inch),HD+,256 GB,Rear Flash and Front Screen Flash,Yes,,"Beidou, GLONASS",Adreno 610,No,32 GB,U10,Vivo 1916/PD1928BF_IN,Vivo U10,1.0,3,Android Pie 9,Yes,13MP 8MP 2MP,3 GB,10348,863,4.4,8MP,Dual Sim,Nano SIM,IPS-IN-Cell (Capacitive Multi Touch Screen),190.5 g,Yes
YES,YES,,3.5mm,4300 mAh,v5.0,Realme,Comet Blue,2.05 GHz,Octa Core,"Front Camera: 720P at 30 fps, 1080P at 30 fps, Rear Camera: 1080P at 60 fps, 720P at 60 fps, 1080P at 30 fps, 720P at 30 fps, 4K at 30 fps",16.51 cm (6.5 inch),Full HD+ LCD Display,256 GB,Rear Flash,,,"A-GPS, GLONASS, BeiDou",ARM G76 (12 nm),No,128 GB,6,RBS0605IN,Realme 6,1.0,4,Android 10,Yes,64MP 8MP 2MP 2MP,8 GB,731,111,4.5,16MP,Dual Sim,Nano SIM,Capacitive,191 g,Yes
