3G,4G,5G,Audio Jack,Battery,Bluetooth,Brand Name,Color,CPU Clock Speed,CPU Cores,Display Resolution,Display Size,Display Type,Expandable Storage,Flash,Fingerprint Scanner,Fingerprint Scanner Type,GPS,GPU Name,Hybrid Slot,Internal Storage,Model Name,Model No,Name,No of Front Cameras,No of Rear Cameras,OS,OTG Compatible,Primary Camera,RAM,Ratings,Reviews,Stars,Secondary Camera,Sim Type,Sim Size,Touchscreen,Weight,WiFi
YES,YES,,,4500 mAh,v5.0,Samsung,Cosmic Gray,2.73 GHz,Octa Core,3200 x 1440 Pixels,17.02 cm (6.7 inch),Dynamic AMOLED Infinity-O Display,1 TB,Rear Flash,Yes,In-Display,"A-GPS, GLONASS, BeiDou, Galileo",ARM | Trym,Yes,128 GB,Galaxy S20+,SM-G985FZADINU,Samsung Galaxy S20+,1.0,3,Android 10,Yes,MP MP MP,8 GB,18,4,4.9,10MP,Dual Sim,Nano SIM,Yes,186 g,Yes
"HSPA Data Rate: UL 11.2 Mbps, DL 42 Mbps, HSPA+",YES,,3.5mm,4230 mAh,4.2,OPPO,Glaze Blue,1.8 GHz,Octa Core,"1080p, 720p",15.75 cm (6.2 inch),In-cell,256 GB,,Yes,,"A-GPS, GLONASS, BeiDou, Galileo",Adreno 506,No,64 GB,A7,CPH1901,OPPO A7,1.0,2,Android Oreo 8.1,Yes,13MP 2MP,4 GB,12841,965,4.4,16MP,Dual Sim,Dual Nano SIM,Capacitive with Multi-touch (10 Points),168 g,
,YES,,,4000 mAh,,Alcatel,Black,2 GHz,Octa Core,1500 x 720,15.75 cm (6.2 inch),,,,,,,,Yes,32 GB,5V,5060,Alcatel 5V,,1,Android Oreo 8.1,Yes,16MP,3 GB,119,27,4.5,,Dual Sim,,Yes,,
HSPA+,YES,,3.5mm,5000 mAh,v5.0,OPPO,Space Purple,1.8 GHz,Octa Core,1600 x 720 Pixels,16.51 cm (6.5 inch),TFT-LCD,,Rear LED Flash,,,,Adreno 610,No,128 GB,A9 2020,CPH1937,OPPO A9 2020,1.0,4,Android Pie 9,Yes,48MP 8MP 2MP 2MP,4 GB,2227,212,4.4,16MP,Dual Sim,Dual Nano SIM,"Capacitive Screen, Multi-touch",195 g,802.11a/b/g/n/ac
Yes,YES,,3.5 mm,No,,InFocus,Champagne Gold,1.3 GHz,Quad Core,720 x 1280 Pixels,12.7 cm (5 inch),HD,16 GB,,,,Yes,,No,16 GB,A2,A2,InFocus A2,1.0,1,Android Nougat 7,Yes,5MP,2 GB,463,57,3.5,5MP,Dual Sim,,Yes,,Yes
Yes,YES,,,4000 mAh,Yes,Samsung,White,1.8 GHz,Octa Core,1080 x 2340 pixels,16.26 cm (6.4 inch),Super AMOLED,512 GB,,Yes,,,,No,64 GB,Galaxy A30,SM-A305FZWFINS,Samsung Galaxy A30,1.0,2,Android Pie 9.0,Yes,16MP 5MP,4 GB,16878,1397,4.4,16MP,Dual Sim,Nano SIM,Yes,165 g,Yes
YES,YES,,,4000 mAh,v5.0,Samsung,Cloud Blue,2.73 GHz,Octa Core,3200 x 1440 Pixels,15.75 cm (6.2 inch),Dynamic AMOLED Infinity-O Display,1 TB,Rear Flash,Yes,In-Display,"A-GPS, GLONASS, BeiDou, Galileo",ARM | Trym,Yes,128 GB,Galaxy S20,SM-G980FLBDINU,Samsung Galaxy S20,1.0,3,Android 10,Yes,64MP 12MP 12MP,8 GB,15,0,4.3,10MP,Dual Sim,Nano SIM,Yes,163 g,Yes
HSPA+,YES,,3.5mm,4000 mAh,v4.2,OPPO,Unicorn White,2.1 GHz,Octa Core,2400 x 1080 Pixels,16.26 cm (6.4 inch),AMOLED,256 GB,,Yes,In-Display,"A-GPS, GLONASS, BeiDou",ARM Mali G72 MP3 900 MHz,No,128 GB,F15,CPH2001,OPPO F15,1.0,4,Android Pie 9,Yes,48MP 8MP 2MP 2MP,8 GB,4430,460,4.4,16MP,Dual Sim,Dual Nano SIM,Multi-touch Capacitive Screen,172 g,Yes
Yes,YES,,,3250 mAh,4.1,Panasonic,Gold,1.3 GHz,Quad Core,1440 x 720 Pixels,14.48 cm (5.7 inch),IPS,128 GB,Yes,Yes,,A-GPS,,No,32 GB,Eluga Ray 550,EB-90S57R55N,Panasonic Eluga Ray 550,1.0,1,Android Nougat 7,Yes,13MP,3 GB,2641,392,3.8,8MP,Dual Sim,Nano SIM and Nano SIM,Yes,152 g,Yes
YES,YES,,3.5 mm,Li-Poly,Yes,Tecno,Champagne Gold,2 GHz,Quad Core,1440x720$$Pixels,13.97 cm (5.5 inch),TFT,128 GB,Both Flash available Front and Back,,,,,No,32 GB,Camon i ACE 2,Camon i ACE 2/KB2,Tecno Camon i ACE 2,1.0,2,Android Oreo 8.1,No,13MP 0.3MP,2 GB,203,19,4.2,8MP,Dual Sim,,Yes,150 g,Yes
Yes,YES,,3.5 mm,3000 mAh,Yes,Voto,Rose Gold,1.3 GHz,Quad Core,720 x 1280 Pixels,12.7 cm (5 inch),IPS LCD,,Auto Flash,,,,Mali 400 MP2,No,16 GB,V2,VOTO V2,Voto V2,1.0,1,Android Nougat 7,No,13MP,2 GB,3691,553,3.6,8MP,Dual Sim,Micro SIM,Yes,,802.11 b/g/n
Yes,YES,,3.5,3000 mAh,4,Lava,Blue,1.5 GHz,Quad Core,720 x 1280 Pixels,14.48 cm (5.7 inch),IPS,128 GB,Rear and Front LED Flash,Yes,,Yes,282,No,32 GB,Z91,,Lava Z91,1.0,1,Android Nougat 7.1,Yes,13MP,3 GB,149,20,3.9,8MP,Dual Sim,Nano Sim,Yes,147 g,Yes
